Title1,Textbox33,Title2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitation By State and by Park for Year: 2019,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in 2019 and displays the percent change from the previous year.,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Visitation%20By%20State%20and%20By%20Park%20(2017%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alaska,Gates of the Arctic NP & PRES,"10,518",9.67%,"8,530",-44.89%,0,,"102,366",-44.89%,0,,0,,0,,0,,0,,"4,058",-46.33%,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Glacier Bay NP & PRES,"672,087",12.41%,"713,718",11.18%,489,-24.07%,"8,564,620",11.18%,"70,700",-25.63%,"14,408",15.49%,0,,744,-4.98%,0,,"4,211",-27.89%,"2,840",-15.45%,"14,938",-26.14%,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Katmai NP & PRES,"84,167",122.56%,"21,395",10.06%,0,,"256,745",10.05%,0,,"4,268",1.23%,0,,"2,560",22.02%,0,,458,-5.18%,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Kenai Fjords NP,"356,601",10.88%,"97,997",6.52%,0,,"1,175,974",6.52%,0,,0,,0,,"1,076",-0.37%,0,,566,-16.27%,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Klondike Gold Rush NHP Alaska,"1,116,161",9.72%,"383,145",10.04%,0,,"4,597,749",10.04%,0,,0,,0,,"1,790",36.12%,0,,"5,821",5.68%,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Kobuk Valley NP,"15,766",5.55%,"4,899",8.70%,"7,750",0.00%,"58,789",8.69%,"62,000",0.00%,0,,0,,0,,0,,"7,050",0.00%,"7,100",,0,32.71%,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Lake Clark NP & PRES,"17,157",18.50%,"4,117",-73.62%,0,,"49,406",-73.62%,0,,0,,0,,0,,0,,686,-90.47%,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Noatak NPRES,"17,216",5.06%,"21,173",8.64%,"8,450",0.00%,"254,081",8.63%,"67,600",0.00%,0,,0,,0,,0,,"5,650",0.89%,"5,750",,0,21.05%,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Sitka NHP,"232,876",18.20%,"11,810",17.76%,0,,"141,731",17.76%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Wrangell-St. Elias NP & PRES,"74,518",-6.21%,"285,652",-6.21%,0,,"3,427,825",-6.21%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
