Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,6,"80,044",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,"612,506"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,7,"75,595",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,"612,506"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,8,"66,414",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,"612,506"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,9,"72,792",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,"612,506"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,10,"60,779",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,"612,506"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,11,"30,459",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,"612,506"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,12,"16,367",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2019,"612,506"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,1,"2,221",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,2,"2,800",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,3,"3,636",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,4,"7,383",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,5,"13,881",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,6,"23,521",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,7,"27,472",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,8,"24,153",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,9,"18,784",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,10,"7,938",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,11,"3,878",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,12,"3,074",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2019,"138,741"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,1,"2,573",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,2,"2,492",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
