NPS Public Use Statistics Query Builder,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Public%20Use%20Statistics%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,,,,
,,,,,,,,,,,
Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits,Recreation Hours,Tent Campers,RV Campers,Backcountry Campers
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,6,"19,061","68,166",0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,7,"13,016","46,823",0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,8,"16,795","59,704",0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,9,"14,165","50,662",0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,10,"14,084","50,339",0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,11,"14,786","53,012",0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,12,"12,115","43,594",0,0,0
Redwood NP,REDW,National Park,Pacific West ,CA,2019,1,"17,129","45,163",0,0,0
Redwood NP,REDW,National Park,Pacific West ,CA,2019,2,"17,768","53,060",41,0,20
Redwood NP,REDW,National Park,Pacific West ,CA,2019,3,"30,938","78,363",213,0,66
Redwood NP,REDW,National Park,Pacific West ,CA,2019,4,"33,179","97,662",121,0,118
Redwood NP,REDW,National Park,Pacific West ,CA,2019,5,"62,796","212,106",525,0,295
Redwood NP,REDW,National Park,Pacific West ,CA,2019,6,"76,137","244,207",497,0,487
Redwood NP,REDW,National Park,Pacific West ,CA,2019,7,"69,750","273,358",474,0,941
Redwood NP,REDW,National Park,Pacific West ,CA,2019,8,"55,227","222,441",416,0,667
Redwood NP,REDW,National Park,Pacific West ,CA,2019,9,"55,568","214,352",216,0,405
Redwood NP,REDW,National Park,Pacific West ,CA,2019,10,"42,048","164,604",116,0,156
Redwood NP,REDW,National Park,Pacific West ,CA,2019,11,"24,430","87,097",52,0,87
Redwood NP,REDW,National Park,Pacific West ,CA,2019,12,"19,752","70,359",50,0,34
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,1,"118,152","709,329",12,12,2
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,2,"99,873","604,533",144,99,0
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,3,"146,414","890,469",465,150,134
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,4,"160,259","997,124","1,134",918,171
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,5,"280,351","1,864,409","6,570","3,735","1,068"
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,6,"698,224","4,791,603","12,912","18,225","6,307"
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,7,"973,992","6,830,898","34,785","12,660","13,934"
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,8,"830,039","5,870,248","30,726","13,026","11,653"
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,9,"752,320","5,146,674","20,634","12,162","6,706"
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,10,"374,003","2,390,212","4,770","3,312","1,055"
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,11,"123,376","752,382",387,270,101
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,12,"113,050","687,482",252,240,82
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,1,"48,968","50,895",0,0,66
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,2,"149,371","156,587",0,0,209
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,3,"186,275","207,139",0,0,719
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,4,"117,802","127,802",0,0,447
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,5,"75,838","77,545",0,0,164
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,6,"49,481","49,003",0,0,26
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,7,"48,553","47,418",0,0,19
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,8,"51,309","51,366",0,0,16
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,9,"44,812","44,684",0,0,45
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,10,"64,529","67,889",0,0,128
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,11,"87,053","92,719",0,0,212
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,12,"96,235","103,250",0,0,134
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,1,"36,024","172,914",267,286,90
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,2,"28,737","137,938",321,398,125
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,3,"63,343","304,045","1,545",849,258
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,4,"93,054","3,387,177","3,883","1,339",902
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,5,"119,816","4,361,310","13,165",668,"1,072"
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,6,"153,882","5,678,244","16,860","5,136","3,547"
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,7,"193,633","7,145,042","35,339","11,095","6,814"
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,8,"190,139","6,921,058","33,495","24,400","12,138"
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,9,"144,639","5,264,871","20,708","17,865","3,518"
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,10,"118,187","4,302,022","5,222","5,037","1,334"
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,11,"59,502","2,165,878","1,698","1,145",42
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,12,"45,097","216,464",585,461,31
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,1,"20,245","45,964",0,0,59
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,2,"10,264","28,048",0,0,130
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,3,"38,601","155,798",786,234,"1,190"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,4,"102,672","570,606","5,328","2,907","2,129"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,5,"150,297","1,268,442","14,373","7,365","4,572"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,6,"170,492","1,479,079","20,916","9,564","3,367"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,7,"167,335","1,532,136","20,550","8,454","6,033"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,8,"195,579","1,608,726","22,545","8,040","4,428"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,9,"176,271","1,511,212","17,175","9,498","4,026"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,10,"236,554","1,722,778","16,206","12,465","4,788"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,11,"127,014","610,210","1,770","1,293","1,510"
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,12,"30,183","85,577",0,0,159
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,1,"2,515","11,434",3,3,0
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,2,"1,187","5,340",0,0,0
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,3,"5,935","27,656",11,32,1
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,4,"10,516","57,070",181,248,24
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,5,"75,682","256,797","1,893","2,133",114
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,6,"134,590","488,244","3,475","4,163",155
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,7,"149,425","563,358","3,769","4,722",134
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,8,"135,584","566,344","3,305","5,184",189
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,9,"110,576","443,756","3,815","3,488",104
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,10,"46,043","147,085",359,483,11
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,11,"17,086","79,055",43,57,1
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,12,"2,519","11,785",8,11,2
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,1,350,"2,152",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,2,"5,753","35,381",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,3,"5,583","34,335",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,4,"13,680","84,133",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,5,"10,437","64,185",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,6,"10,047","61,787",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,7,"8,191","50,373",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,8,"18,599","114,384",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,9,"7,376","45,365",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,10,"13,496","82,999",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,11,"16,768","103,121",0,0,0
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,12,"23,118","142,176",0,0,0
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,1,"4,458","16,776",0,0,16
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,2,"7,602","27,212",0,0,13
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,3,"3,214","11,059",0,0,0
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,4,213,213,0,0,44
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,5,"28,198","178,982",0,0,"4,395"
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,6,"47,387","251,775",0,0,"10,248"
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,7,"52,031","258,982",0,0,"13,170"
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,8,"50,586","241,625",0,0,"13,465"
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,9,"25,517","123,837",0,0,"3,036"
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,10,"11,047","54,624",0,0,851
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,11,"2,472","15,358",0,0,24
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,12,249,437,0,0,0
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,1,"4,693","8,974",0,0,3
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,2,"35,531","95,334",0,0,172
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,3,"83,712","197,688",0,0,548
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,4,"62,811","148,531",0,0,413
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,5,"64,344","153,920",0,0,567
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,6,"62,127","147,501",0,0,440
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,7,"66,363","158,364",0,0,489
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,8,"48,510","116,722",0,0,310
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,9,"43,009","118,271",0,0,338
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,10,"50,053","138,625",0,0,403
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,11,"38,575","105,577",0,0,311
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,12,"49,057","132,396",0,0,249
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,1,"11,431","18,375",0,0,0
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,2,"14,127","23,317",3,4,1
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,3,"21,375","38,070",4,24,0
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,4,"54,922","152,234",50,170,3
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,5,"48,780","158,420",298,409,29
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,6,"125,106","410,063","1,069","1,011",183
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,7,"146,531","423,301",993,774,64
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,8,"92,237","262,917",728,276,16
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,9,"55,196","168,408",388,790,67
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,10,"23,537","44,320",93,236,4
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,11,"10,950","18,060",6,21,0
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,12,"11,158","17,893",0,0,2
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,1,25,"1,150",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,2,95,"4,370",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,3,230,"10,580",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,4,520,"23,920",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,5,"4,572","210,314",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,6,"16,445","756,459",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,7,"23,372","1,075,132",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,8,"20,779","955,840",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,9,"7,855","361,310",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,10,530,"24,380",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,11,60,"2,760",0,0,0
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,12,35,"1,610",0,0,0
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,1,"33,896","570,106",96,198,27
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,2,"31,650","533,837",32,83,81
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,3,"28,695","358,548",182,294,115
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,4,"48,150","662,508",643,"1,517",80
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,5,"434,385","6,660,866","4,531","6,906",929
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,6,"781,853","16,176,090","13,302","14,541","4,160"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,7,"936,062","19,420,614","27,136","16,227","12,556"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,8,"820,006","17,363,508","22,458","17,389","13,287"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,9,"693,118","14,724,566","10,822","18,691","6,034"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,10,"171,339","3,275,664","1,494","3,834",905
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,11,"15,628","202,188",182,419,9
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,12,"25,506","400,924",144,195,53
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,1,"116,746","1,430,396","2,946","3,388",538
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,2,"111,665","1,079,573",488,400,635
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,3,"173,610","1,845,865","1,043","1,328","1,468"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,4,"297,207","3,774,333","20,367","13,668","1,531"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,5,"393,004","5,212,347","31,507","16,968","4,924"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,6,"496,625","6,939,607","36,110","9,524","19,050"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,7,"717,462","10,966,092","93,530","32,000","48,052"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,8,"703,153","12,123,498","116,330","46,524","42,027"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,9,"584,664","10,787,066","105,165","41,988","28,464"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,10,"448,939","6,304,836","43,415","29,664","7,619"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,11,"230,598","3,077,878","14,666","12,564","1,182"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,12,"149,188","1,967,075","4,018","3,932",88
Zion NP,ZION,National Park,Intermountain ,UT,2019,1,"98,828","650,131","1,574","1,649",2
Zion NP,ZION,National Park,Intermountain ,UT,2019,2,"102,269","615,422","1,010",732,71
Zion NP,ZION,National Park,Intermountain ,UT,2019,3,"296,316","1,914,024","7,485","7,940","1,111"
Zion NP,ZION,National Park,Intermountain ,UT,2019,4,"372,349","2,399,305","11,081","8,453","1,919"
Zion NP,ZION,National Park,Intermountain ,UT,2019,5,"529,553","3,317,085","14,108","9,292","3,266"
Zion NP,ZION,National Park,Intermountain ,UT,2019,6,"594,896","3,772,267","16,098","9,132","2,889"
Zion NP,ZION,National Park,Intermountain ,UT,2019,7,"629,802","4,029,289","18,330","9,046","2,081"
Zion NP,ZION,National Park,Intermountain ,UT,2019,8,"535,322","3,535,992","17,568","8,042","1,721"
Zion NP,ZION,National Park,Intermountain ,UT,2019,9,"497,443","3,144,084","12,482","8,182","2,007"
Zion NP,ZION,National Park,Intermountain ,UT,2019,10,"429,604","2,736,509","11,009","8,969","2,117"
Zion NP,ZION,National Park,Intermountain ,UT,2019,11,"230,180","1,543,130","5,650","5,774",970
Zion NP,ZION,National Park,Intermountain ,UT,2019,12,"171,706","1,058,308","1,895","1,493",166
